project name | year debuted | paper title | authors

froebels gifts | 190? |
montessori materials | 190? |
tinkertoy
legos
erector (meccanoo)
zoob
kinex

logo turtle | 1975~ | 
slot machine | 1981 |  | radia perlman
computerised building block system | 1979 | 3D Input for CAAD Systems | Robert Aish
universal constructor | 1989 | an evolutionary architecture | frazer

Monkey | 1995 | Of mice and monkeys: A specialized input device for virtual body animation | Chris Esposito and W Bradford Paley and and JueyChong Ong
Triangles | 1997 | Triangles: Design of a Physical/Digital Construction Kit | Matthew G Gorbet and Maggie Orth
Crickets | 1998 | Digital manipulatives: new toys to think with | Mitchel Resnick and Fred Martin and Robert Berg and Rick Borovoy and Vanessa Colella and Kwin Kramer and Brian Silverman
? Programmable Beads | 1998 | Digital manipulatives: new toys to think with |Mitchel Resnick and Fred Martin and Robert Berg and Rick Borovoy and Vanessa Colella and Kwin Kramer and Brian Silverman
? BitBalls | 1998 | Digital manipulatives: new toys to think with |Mitchel Resnick and Fred Martin and Robert Berg and Rick Borovoy and Vanessa Colella and Kwin Kramer and Brian Silverman
? Thinking Tags | 1998 | Digital manipulatives: new toys to think with |Mitchel Resnick and Fred Martin and Robert Berg and Rick Borovoy and Vanessa Colella and Kwin Kramer and Brian Silverman
algoblocks | 1995 | Interaction-level support for collaborative learning: AlgoBlock---an open programming language | Hideyuki Suzuki and Hiroshi Kato
Programmable Bricks | 1996 | Programmable bricks: Toys to think with | Mitchel Resnick and Fred Martin and Randy Sargent and Brian Silverman
self-describing building blocks | 1999 | Building Virtual Structures with Physical Blocks | David Anderson and James L Frankel and Joe Marks and Darren Leigh and Kathy Ryall and Eddie Sullivan and Jonathan Yedidia
Tetrobot | 1997 | TETROBOT: a modular approach to parallel robotics | Gregory J Hamlin and Arthur C Sanderson
Fracta | 1994 | Self-assembling machine | Satoshi Murata and Haruhisa Kurokawa and Shigeru Kokaji
3-D self-reconfigurable structure | 1998 | A 3-D Self-Reconfigurable Structure | Satoshi Murata and Haruhisa Kurokawa and Eiichi Yoshida and Kohji Tomita and Shigeru Kokaji
Robotic Molecule | 1998 | The self-reconfiguring robotic molecule | Keith Kotay and Daniela Rus and Marsette Vona and Craig McGray
Metamorphic Robot | 1996 | Design and implementation of metamorphic robots | Amit Pamecha and Chih-Jung Chiang and David Stein and Gregory Chirikjian
InTouch | 1998 | Tangible Interfaces for Remote Collaboration and Communication | Scott Brave and Hiroshi Ishii and Andrew Dahley
Urp | 1999 | Urp: a luminous-tangible workbench for urban planning and design | John Underkoffler and Hiroshi Ishii


Posey | 2008 | Posey: instrumenting a poseable hub and strut construction toy | Michael Philetus Weller and Ellen Yi-Luen Do and Mark D Gross
Speech-Enabled Alphabet Blocks | 2002 | Computationally-Enhanced Construction Kits for Children: Prototype and Principles | Mike Eisenberg and Ann Eisenberg and Mark D Gross and Khomkrit Kaowthumrong and Nathaniel Lee and Will Lovet
Topobo | 2004 | Topobo: A constructive assembly system with kinetic memory | Hayes Solos Raffle and Amanda J Parkes and Hiroshi Ishii
roBlocks (Cubelets) | 2006 | roBlocks: a robotic construction kit for mathematics and science education | Eric Schweikardt and Mark D Gross
ActiveCube | 2004 | The Soul of ActiveCube - Implementing a Flexible, Multimodal, Three-Dimensional Spatial Tangible Interface | Ryoichi Watanabe and Yuichi Itoh and Masatsugu Asai and Yoshifumi Kitamura and Fumio Kishino and Hideo Kikuchi
Curlybot | 2000 | Curlybot: Designing a New Class of Computational Toys | Phil Frei and Victor Su and Bakhtiar Mikhak and Hiroshi Ishii
SmartTiles | 2004 | Computation and Construction Kits: Toward the Next Generation of Tangible Building Media for Children | Nwanua Elumeze and Mike Eisenberg
Smart Blocks | 2007 | Smart Blocks: A Tangible Mathematical Manipulative | Audrey Girouard and Erin Treacy Solovey and Leanne M Hirshfield and Stacey Ecott and Orit Shaer and Robert J K Jacob
Glume | 2006 | Glume: exploring materiality in a soft augmented modular modeling system | Amanda J Parkes and Vincent LeClerc and Hiroshi Ishii
Senspectra | 2007 | Senspectra: a computationally augmented physical modeling toolkit for sensing and visualization of structural strain | Vincent LeClerc and Amanda J Parkes and Hiroshi Ishii
Tern | 2007 | Tangible programming in the classroom with tern | Michael S Horn and Robert J K Jacob
Pico | 2007 | Mechanical constraints as computational constraints in tabletop tangible interfaces | James Patten and Hiroshi Ishii
Jabberstamp | 2007 | Jabberstamp: embedding sound and voice in traditional drawings | Hayes Solos Raffle and Cati Vaucelle and Ruibing Wang and Hiroshi Ishii
Handsaw | 2008 | Handsaw: Tangible Exploration of Volumetric Data by Direct Cut-Plane Projection | Leonardo Bonanni and Jason Alonso and Greg Vargas and Neil Chao and Hiroshi Ishii
FlowBlocks | 2005 | Extending tangible interfaces for education: digital montessori-inspired manipulatives | Oren Zuckerman and Saeed Arida and Mitchel Resnick
